epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,630.831,1.57625,1.65229,1.89437,0.59604,0.6092,0.66506,0.30111,0.33004,1.71839,1.47852,2.0153,0.0007426,0.0007426,0.0007426
41,648.18,1.55811,1.60369,1.88335,0.59637,0.66362,0.72267,0.43734,0.41799,1.60004,1.39609,1.9087,0.000736,0.000736,0.000736
42,663.442,1.57089,1.65252,1.90319,0.69616,0.67601,0.74759,0.43528,0.42166,1.59322,1.42352,1.93127,0.0007294,0.0007294,0.0007294
43,678.2,1.55443,1.61655,1.87277,0.74858,0.64255,0.72126,0.37882,0.39323,1.74175,1.46976,2.02657,0.0007228,0.0007228,0.0007228
44,694.363,1.56129,1.60564,1.8684,0.72875,0.56122,0.66621,0.29048,0.35341,1.73994,1.63804,2.02879,0.0007162,0.0007162,0.0007162
45,710.453,1.5368,1.59381,1.85511,0.58454,0.75516,0.75814,0.39662,0.42514,1.54286,1.37553,1.84218,0.0007096,0.0007096,0.0007096
46,726.371,1.5323,1.59325,1.85267,0.59079,0.71778,0.7102,0.48249,0.42088,1.60255,1.34282,1.90089,0.000703,0.000703,0.000703
47,743.781,1.53106,1.57922,1.84501,0.6358,0.72217,0.75708,0.43504,0.4108,1.59494,1.44478,1.88151,0.0006964,0.0006964,0.0006964
48,761.758,1.52265,1.54908,1.83917,0.65789,0.72789,0.71936,0.30306,0.36426,1.68927,1.4406,1.99181,0.0006898,0.0006898,0.0006898
49,780.502,1.51748,1.54632,1.83236,0.64247,0.74265,0.74123,0.39263,0.40611,1.59215,1.39237,1.88991,0.0006832,0.0006832,0.0006832
50,797.194,1.52545,1.55362,1.84298,0.72636,0.69894,0.75444,0.45271,0.42837,1.70414,1.25383,2.06255,0.0006766,0.0006766,0.0006766
51,813.063,1.5296,1.56579,1.84844,0.52724,0.68687,0.68062,0.35453,0.37752,1.61507,1.4386,1.94125,0.00067,0.00067,0.00067
52,827.868,1.5203,1.55316,1.82614,0.79374,0.65095,0.76622,0.35884,0.39877,1.59946,1.38138,1.89119,0.0006634,0.0006634,0.0006634
53,843.814,1.51218,1.524,1.83076,0.74127,0.7139,0.80367,0.5094,0.47346,1.50957,1.25658,1.78435,0.0006568,0.0006568,0.0006568
54,858.501,1.52394,1.53203,1.83901,0.63329,0.6855,0.71734,0.38273,0.38477,1.69609,1.40756,1.97881,0.0006502,0.0006502,0.0006502
55,875.083,1.51884,1.54264,1.83038,0.62677,0.77937,0.76662,0.45854,0.4426,1.52556,1.27108,1.84592,0.0006436,0.0006436,0.0006436
56,891.815,1.49362,1.51496,1.81737,0.65554,0.68357,0.73778,0.36457,0.39293,1.69235,1.35884,1.99932,0.000637,0.000637,0.000637
57,905.593,1.50967,1.51271,1.82235,0.67269,0.70181,0.77648,0.46837,0.43865,1.50875,1.29239,1.80799,0.0006304,0.0006304,0.0006304
58,920.544,1.47778,1.48568,1.80195,0.76093,0.74732,0.79759,0.51926,0.45941,1.53353,1.26598,1.83517,0.0006238,0.0006238,0.0006238
59,934.127,1.51189,1.53851,1.83386,0.59149,0.7317,0.7538,0.36365,0.42952,1.62149,1.35035,1.89706,0.0006172,0.0006172,0.0006172
60,947.07,1.49786,1.50819,1.81388,0.73955,0.69719,0.75264,0.33815,0.38227,1.84872,1.25076,2.08637,0.0006106,0.0006106,0.0006106
61,961.726,1.48876,1.52138,1.81477,0.79246,0.60529,0.75168,0.4153,0.43898,1.50934,1.34001,1.83104,0.000604,0.000604,0.000604
62,976.527,1.48608,1.49598,1.80907,0.76573,0.70048,0.75046,0.43795,0.43745,1.63774,1.33079,1.90441,0.0005974,0.0005974,0.0005974
63,991.177,1.50161,1.52846,1.81598,0.76908,0.62141,0.71504,0.38314,0.39613,1.71013,1.34495,1.96512,0.0005908,0.0005908,0.0005908
64,1006.34,1.47546,1.48672,1.80281,0.75679,0.65869,0.75606,0.4898,0.45063,1.65566,1.34424,1.96171,0.0005842,0.0005842,0.0005842
65,1021.85,1.48601,1.49141,1.80804,0.73294,0.7453,0.77647,0.46047,0.44773,1.55133,1.24808,1.84912,0.0005776,0.0005776,0.0005776
66,1037.47,1.47522,1.48541,1.79629,0.92229,0.59614,0.74877,0.44414,0.45083,1.47063,1.29703,1.81048,0.000571,0.000571,0.000571
67,1052.86,1.4735,1.46027,1.79191,0.79415,0.67204,0.78781,0.46957,0.44566,1.55949,1.27623,1.87995,0.0005644,0.0005644,0.0005644
68,1073,1.47139,1.44638,1.78659,0.76241,0.71113,0.8041,0.46427,0.44548,1.57939,1.30144,1.85779,0.0005578,0.0005578,0.0005578
69,1089.99,1.47028,1.47381,1.7893,0.91333,0.61123,0.78352,0.37063,0.40367,1.68119,1.30299,1.92739,0.0005512,0.0005512,0.0005512
70,1104.95,1.45899,1.45791,1.77933,0.77171,0.72148,0.75713,0.47953,0.43847,1.5648,1.27891,1.87999,0.0005446,0.0005446,0.0005446
71,1119.04,1.4404,1.44019,1.76278,0.65143,0.71613,0.72582,0.42335,0.4263,1.54577,1.33472,1.87325,0.000538,0.000538,0.000538
72,1135.21,1.45724,1.44707,1.78014,0.65098,0.74501,0.74138,0.4147,0.44394,1.5314,1.28939,1.8573,0.0005314,0.0005314,0.0005314
73,1151.72,1.46228,1.45646,1.79256,0.68525,0.75113,0.75952,0.37266,0.41267,1.61176,1.29006,1.8879,0.0005248,0.0005248,0.0005248
74,1166.21,1.44359,1.4238,1.76663,0.7327,0.6761,0.75669,0.44956,0.43571,1.5626,1.28627,1.87255,0.0005182,0.0005182,0.0005182
75,1180.9,1.45666,1.426,1.772,0.72805,0.69855,0.79519,0.43038,0.44366,1.66881,1.27121,1.95361,0.0005116,0.0005116,0.0005116
76,1194.49,1.45322,1.4757,1.78758,0.79661,0.7161,0.78102,0.44037,0.47071,1.53895,1.20304,1.83717,0.000505,0.000505,0.000505
77,1208.22,1.44243,1.422,1.7613,0.71677,0.71435,0.78116,0.44443,0.44218,1.62324,1.21146,1.90612,0.0004984,0.0004984,0.0004984
78,1223.24,1.43757,1.40955,1.75808,0.65962,0.67733,0.73975,0.37392,0.41146,1.64786,1.2793,1.96078,0.0004918,0.0004918,0.0004918
79,1236.73,1.44915,1.42424,1.76933,0.74365,0.73858,0.78132,0.49482,0.45081,1.53573,1.24794,1.82953,0.0004852,0.0004852,0.0004852
80,1250.31,1.41831,1.39166,1.74035,0.76694,0.7318,0.7701,0.41681,0.41673,1.60939,1.25358,1.8976,0.0004786,0.0004786,0.0004786
81,1263.88,1.41736,1.38489,1.75092,0.70418,0.71945,0.74565,0.44483,0.424,1.55983,1.29681,1.87001,0.000472,0.000472,0.000472
82,1278.05,1.4313,1.40272,1.76182,0.77342,0.70656,0.77777,0.4157,0.41212,1.69384,1.25231,1.97479,0.0004654,0.0004654,0.0004654
83,1290.8,1.41569,1.37566,1.74682,0.72959,0.63972,0.72407,0.40611,0.39895,1.71042,1.33126,1.91738,0.0004588,0.0004588,0.0004588
84,1304.73,1.4236,1.41777,1.75541,0.77654,0.70923,0.77737,0.35654,0.4298,1.6278,1.25689,1.9229,0.0004522,0.0004522,0.0004522
85,1317.88,1.41424,1.38935,1.74582,0.6473,0.70968,0.76221,0.44488,0.42397,1.63822,1.30803,1.96157,0.0004456,0.0004456,0.0004456
86,1329.87,1.43358,1.39044,1.76054,0.65772,0.7623,0.77417,0.43203,0.45045,1.56648,1.23566,1.84507,0.000439,0.000439,0.000439
87,1341.91,1.41017,1.37246,1.73084,0.68275,0.72418,0.74401,0.42415,0.42081,1.60092,1.23335,1.88062,0.0004324,0.0004324,0.0004324
88,1354.88,1.4233,1.40469,1.74203,0.68299,0.73002,0.7954,0.44444,0.45724,1.55061,1.15734,1.84306,0.0004258,0.0004258,0.0004258
89,1367.73,1.4257,1.39381,1.74442,0.73707,0.6996,0.81214,0.3936,0.43871,1.61181,1.20447,1.89918,0.0004192,0.0004192,0.0004192
90,1380.72,1.41521,1.39367,1.74275,0.81056,0.7562,0.82619,0.45216,0.45008,1.63876,1.16785,1.94144,0.0004126,0.0004126,0.0004126
91,1394.46,1.40427,1.37802,1.73674,0.68266,0.70757,0.7573,0.47018,0.4485,1.52041,1.19136,1.82062,0.000406,0.000406,0.000406
92,1407.7,1.40511,1.35651,1.73357,0.66968,0.72649,0.76899,0.44461,0.44224,1.52419,1.21605,1.82908,0.0003994,0.0003994,0.0003994
93,1420.31,1.37091,1.3379,1.70922,0.68725,0.72418,0.7964,0.4769,0.47144,1.55704,1.183,1.84497,0.0003928,0.0003928,0.0003928
94,1435.65,1.39056,1.35124,1.72201,0.79842,0.74732,0.81458,0.52261,0.49392,1.52614,1.21106,1.82777,0.0003862,0.0003862,0.0003862
95,1452.02,1.39373,1.3492,1.72587,0.71376,0.73136,0.78348,0.46064,0.4478,1.55939,1.22754,1.89375,0.0003796,0.0003796,0.0003796
96,1469.47,1.41462,1.37509,1.72882,0.70213,0.71315,0.80014,0.46244,0.42876,1.64037,1.22031,1.94514,0.000373,0.000373,0.000373
97,1484.66,1.39414,1.35685,1.72539,0.77524,0.74201,0.78325,0.49306,0.45737,1.56782,1.19094,1.86872,0.0003664,0.0003664,0.0003664
98,1501.27,1.39076,1.34728,1.72222,0.86967,0.64744,0.78204,0.46246,0.442,1.61325,1.25912,1.92247,0.0003598,0.0003598,0.0003598
99,1516.25,1.39717,1.3543,1.72559,0.73764,0.7449,0.80008,0.46499,0.44554,1.56756,1.18816,1.85217,0.0003532,0.0003532,0.0003532
100,1532.93,1.39929,1.35376,1.71894,0.77622,0.70763,0.76845,0.47159,0.42552,1.61749,1.26849,1.88693,0.0003466,0.0003466,0.0003466
101,1549.43,1.39159,1.34047,1.72316,0.688,0.72702,0.7782,0.44587,0.44486,1.5286,1.2877,1.76725,0.00034,0.00034,0.00034
102,1564.27,1.39301,1.34307,1.716,0.7295,0.72677,0.80854,0.43468,0.45326,1.57765,1.12895,1.86648,0.0003334,0.0003334,0.0003334
103,1580.81,1.38152,1.3393,1.70885,0.78056,0.66362,0.77478,0.50578,0.45713,1.53018,1.20244,1.8477,0.0003268,0.0003268,0.0003268
104,1595.19,1.37414,1.34448,1.70631,0.7169,0.72519,0.79011,0.43108,0.45748,1.5646,1.19617,1.85859,0.0003202,0.0003202,0.0003202
105,1609.62,1.35394,1.3156,1.69873,0.8949,0.67088,0.76589,0.49465,0.4288,1.60056,1.21794,1.86924,0.0003136,0.0003136,0.0003136
106,1625.96,1.37494,1.33133,1.70622,0.71475,0.76652,0.79704,0.41645,0.45876,1.5714,1.23372,1.87111,0.000307,0.000307,0.000307
107,1641.1,1.38661,1.3249,1.71564,0.85456,0.66958,0.7624,0.49798,0.43985,1.58189,1.15039,1.86814,0.0003004,0.0003004,0.0003004
