epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,638.088,1.54809,1.61945,1.80663,0.54992,0.75391,0.70825,0.37823,0.39732,1.54119,1.35493,1.7935,0.0007426,0.0007426,0.0007426
41,654.106,1.51746,1.60406,1.79977,0.63842,0.73613,0.72328,0.4572,0.42128,1.45904,1.3583,1.75426,0.000736,0.000736,0.000736
42,670.21,1.53166,1.61847,1.80485,0.57512,0.70624,0.71322,0.44935,0.39318,1.49188,1.36673,1.78728,0.0007294,0.0007294,0.0007294
43,686.063,1.52571,1.59586,1.77856,0.67584,0.69825,0.67616,0.3815,0.3702,1.55578,1.46636,1.76917,0.0007228,0.0007228,0.0007228
44,701.945,1.5146,1.57635,1.77434,0.52385,0.6699,0.67595,0.47192,0.40408,1.49778,1.3307,1.77012,0.0007162,0.0007162,0.0007162
45,717.944,1.5034,1.58546,1.76925,0.61563,0.67762,0.71441,0.36168,0.38498,1.62495,1.41255,1.93017,0.0007096,0.0007096,0.0007096
46,733.728,1.50707,1.57754,1.77361,0.52452,0.76039,0.70381,0.39326,0.3781,1.55761,1.37599,1.80753,0.000703,0.000703,0.000703
47,749.415,1.50052,1.56994,1.76348,0.53489,0.7306,0.74928,0.45386,0.42951,1.48561,1.29847,1.76013,0.0006964,0.0006964,0.0006964
48,765.36,1.50857,1.55301,1.77094,0.75219,0.63016,0.70011,0.31299,0.367,1.55547,1.33133,1.84716,0.0006898,0.0006898,0.0006898
49,781.103,1.50442,1.55004,1.76053,0.65291,0.73702,0.76865,0.36632,0.43435,1.55473,1.23696,1.82376,0.0006832,0.0006832,0.0006832
50,796.746,1.49148,1.54939,1.75759,0.51045,0.74739,0.68361,0.42442,0.3917,1.5788,1.25934,1.84554,0.0006766,0.0006766,0.0006766
