epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,649.832,1.61929,1.6076,1.78323,0.6545,0.53259,0.54163,0.28097,0.28219,1.74151,1.88261,1.96531,0.0007426,0.0007426,0.0007426
41,666.143,1.59585,1.5832,1.78142,0.66441,0.7496,0.80023,0.45269,0.46777,1.44409,1.26504,1.66464,0.000736,0.000736,0.000736
42,681.799,1.59447,1.58638,1.78484,0.77037,0.58605,0.74582,0.37358,0.37178,1.70318,1.44996,1.86766,0.0007294,0.0007294,0.0007294
43,697.76,1.59655,1.58142,1.75551,0.70296,0.68172,0.74956,0.39216,0.41504,1.6747,1.2759,1.82001,0.0007228,0.0007228,0.0007228
44,713.878,1.59058,1.5858,1.75947,0.45834,0.73056,0.64518,0.375,0.38373,1.53138,1.35068,1.69339,0.0007162,0.0007162,0.0007162
45,730.336,1.57223,1.56481,1.754,0.56275,0.60026,0.67984,0.3603,0.35585,1.6492,1.51815,1.83264,0.0007096,0.0007096,0.0007096
46,746.943,1.58032,1.5565,1.76116,0.87077,0.58465,0.76415,0.39608,0.40896,1.56565,1.36285,1.76055,0.000703,0.000703,0.000703
47,763.422,1.56277,1.55625,1.74503,0.48046,0.53087,0.60566,0.25699,0.29548,1.88375,1.69722,1.97638,0.0006964,0.0006964,0.0006964
48,780.129,1.56745,1.51966,1.73945,0.81476,0.62871,0.72772,0.39174,0.39196,1.57475,1.35834,1.80194,0.0006898,0.0006898,0.0006898
49,795.98,1.55793,1.51356,1.72712,0.6318,0.59952,0.68057,0.43438,0.41766,1.48756,1.29708,1.72403,0.0006832,0.0006832,0.0006832
50,812.314,1.54808,1.51753,1.73022,0.61727,0.74599,0.74425,0.44176,0.43463,1.48119,1.17466,1.73863,0.0006766,0.0006766,0.0006766
51,827.784,1.55062,1.52647,1.73216,0.54388,0.73153,0.70785,0.44241,0.43374,1.51211,1.26229,1.71598,0.00067,0.00067,0.00067
52,843.264,1.54429,1.52524,1.71721,0.76866,0.60401,0.65108,0.44981,0.39361,1.49799,1.31657,1.68844,0.0006634,0.0006634,0.0006634
53,858.811,1.5395,1.49169,1.71645,0.92075,0.63137,0.77459,0.42198,0.43634,1.47566,1.20646,1.64277,0.0006568,0.0006568,0.0006568
54,874.41,1.55721,1.50049,1.72578,0.59612,0.76462,0.80784,0.53244,0.46621,1.44179,1.22095,1.67771,0.0006502,0.0006502,0.0006502
55,890.364,1.54141,1.50448,1.72654,0.64082,0.77471,0.7583,0.44232,0.45567,1.47787,1.2092,1.66924,0.0006436,0.0006436,0.0006436
56,906.549,1.54292,1.49513,1.71657,0.55086,0.53451,0.55978,0.22503,0.28587,1.76918,1.8268,1.98238,0.000637,0.000637,0.000637
57,922.847,1.53207,1.48903,1.71741,0.51798,0.75689,0.70258,0.4704,0.42064,1.47362,1.19371,1.68735,0.0006304,0.0006304,0.0006304
58,939.289,1.52324,1.47273,1.70461,0.55241,0.778,0.74423,0.548,0.4573,1.46031,1.19567,1.66803,0.0006238,0.0006238,0.0006238
59,955.409,1.54439,1.50912,1.7143,0.69008,0.7031,0.75222,0.49856,0.45622,1.53893,1.21591,1.68779,0.0006172,0.0006172,0.0006172
60,971.316,1.52579,1.47672,1.69445,0.60691,0.69463,0.71277,0.41914,0.41996,1.5514,1.25385,1.7308,0.0006106,0.0006106,0.0006106
61,987.432,1.52648,1.49145,1.6944,0.63962,0.70986,0.7394,0.44994,0.42434,1.54339,1.25901,1.71115,0.000604,0.000604,0.000604
62,1003.11,1.51255,1.46429,1.68753,0.59696,0.70798,0.7278,0.47572,0.43512,1.49408,1.22336,1.68185,0.0005974,0.0005974,0.0005974
63,1019.34,1.5411,1.50532,1.71003,0.66269,0.36475,0.43395,0.18306,0.21719,1.94099,2.49849,2.23113,0.0005908,0.0005908,0.0005908
64,1035.29,1.52118,1.46973,1.69459,0.58067,0.75348,0.70713,0.41229,0.39797,1.63526,1.34029,1.80591,0.0005842,0.0005842,0.0005842
65,1051.51,1.52295,1.47072,1.70426,0.63469,0.67158,0.71536,0.39782,0.4306,1.45287,1.2038,1.66486,0.0005776,0.0005776,0.0005776
66,1067.91,1.52662,1.47131,1.70316,0.77001,0.68468,0.73753,0.46984,0.43874,1.46161,1.1583,1.67991,0.000571,0.000571,0.000571
67,1084.25,1.50553,1.45166,1.69275,0.73766,0.80017,0.80373,0.4635,0.48329,1.40162,1.08528,1.66453,0.0005644,0.0005644,0.0005644
68,1100.15,1.5189,1.43866,1.68135,0.61736,0.73486,0.77084,0.51724,0.45899,1.39486,1.25775,1.61656,0.0005578,0.0005578,0.0005578
69,1116.11,1.49885,1.45632,1.68542,0.61692,0.77964,0.73608,0.41359,0.42471,1.55143,1.18851,1.71676,0.0005512,0.0005512,0.0005512
70,1131.7,1.49739,1.4434,1.67622,0.76014,0.72172,0.81833,0.51081,0.4822,1.37333,1.14322,1.59296,0.0005446,0.0005446,0.0005446
71,1147.4,1.49305,1.42602,1.66571,0.9155,0.58845,0.72446,0.49391,0.44871,1.43651,1.21473,1.65461,0.000538,0.000538,0.000538
72,1163,1.50399,1.42798,1.6775,0.6053,0.78779,0.74595,0.50412,0.45615,1.45043,1.15279,1.65989,0.0005314,0.0005314,0.0005314
